0.000	0.000	-0.327
0.000	0.031	-0.327
0.000	0.062	-0.327
0.000	0.094	-0.326
0.000	0.125	-0.325
0.000	0.156	-0.325
0.000	0.188	-0.324
0.000	0.219	-0.322
0.000	0.250	-0.321
0.000	0.281	-0.320
0.000	0.312	-0.319
0.000	0.344	-0.318
0.000	0.375	-0.317
0.000	0.406	-0.316
0.000	0.438	-0.315
0.000	0.469	-0.315
0.000	0.500	-0.315
0.000	0.531	-0.315
0.000	0.562	-0.315
0.000	0.594	-0.316
0.000	0.625	-0.317
0.000	0.656	-0.318
0.000	0.688	-0.319
0.000	0.719	-0.320
0.000	0.750	-0.321
0.000	0.781	-0.322
0.000	0.812	-0.324
0.000	0.844	-0.325
0.000	0.875	-0.325
0.000	0.906	-0.326
0.000	0.938	-0.327
0.000	0.969	-0.327

0.031	0.000	-0.327
0.031	0.031	-0.327
0.031	0.062	-0.326
0.031	0.094	-0.326
0.031	0.125	-0.325
0.031	0.156	-0.324
0.031	0.188	-0.323
0.031	0.219	-0.322
0.031	0.250	-0.321
0.031	0.281	-0.320
0.031	0.312	-0.319
0.031	0.344	-0.317
0.031	0.375	-0.316
0.031	0.406	-0.316
0.031	0.438	-0.315
0.031	0.469	-0.315
0.031	0.500	-0.314
0.031	0.531	-0.315
0.031	0.562	-0.315
0.031	0.594	-0.316
0.031	0.625	-0.316
0.031	0.656	-0.317
0.031	0.688	-0.319
0.031	0.719	-0.320
0.031	0.750	-0.321
0.031	0.781	-0.322
0.031	0.812	-0.323
0.031	0.844	-0.324
0.031	0.875	-0.325
0.031	0.906	-0.326
0.031	0.938	-0.326
0.031	0.969	-0.327

0.062	0.000	-0.327
0.062	0.031	-0.326
0.062	0.062	-0.326
0.062	0.094	-0.326
0.062	0.125	-0.325
0.062	0.156	-0.324
0.062	0.188	-0.323
0.062	0.219	-0.322
0.062	0.250	-0.320
0.062	0.281	-0.319
0.062	0.312	-0.318
0.062	0.344	-0.317
0.062	0.375	-0.315
0.062	0.406	-0.314
0.062	0.438	-0.314
0.062	0.469	-0.313
0.062	0.500	-0.313
0.062	0.531	-0.313
0.062	0.562	-0.314
0.062	0.594	-0.314
0.062	0.625	-0.315
0.062	0.656	-0.317
0.062	0.688	-0.318
0.062	0.719	-0.319
0.062	0.750	-0.320
0.062	0.781	-0.322
0.062	0.812	-0.323
0.062	0.844	-0.324
0.062	0.875	-0.325
0.062	0.906	-0.326
0.062	0.938	-0.326
0.062	0.969	-0.326

0.094	0.000	-0.326
0.094	0.031	-0.326
0.094	0.062	-0.326
0.094	0.094	-0.325
0.094	0.125	-0.324
0.094	0.156	-0.323
0.094	0.188	-0.322
0.094	0.219	-0.321
0.094	0.250	-0.319
0.094	0.281	-0.318
0.094	0.312	-0.316
0.094	0.344	-0.315
0.094	0.375	-0.314
0.094	0.406	-0.312
0.094	0.438	-0.312
0.094	0.469	-0.311
0.094	0.500	-0.311
0.094	0.531	-0.311
0.094	0.562	-0.312
0.094	0.594	-0.312
0.094	0.625	-0.314
0.094	0.656	-0.315
0.094	0.688	-0.316
0.094	0.719	-0.318
0.094	0.750	-0.319
0.094	0.781	-0.321
0.094	0.812	-0.322
0.094	0.844	-0.323
0.094	0.875	-0.324
0.094	0.906	-0.325
0.094	0.938	-0.326
0.094	0.969	-0.326

0.125	0.000	-0.325
0.125	0.031	-0.325
0.125	0.062	-0.325
0.125	0.094	-0.324
0.125	0.125	-0.323
0.125	0.156	-0.322
0.125	0.188	-0.321
0.125	0.219	-0.319
0.125	0.250	-0.318
0.125	0.281	-0.316
0.125	0.312	-0.314
0.125	0.344	-0.312
0.125	0.375	-0.311
0.125	0.406	-0.310
0.125	0.438	-0.309
0.125	0.469	-0.308
0.125	0.500	-0.308
0.125	0.531	-0.308
0.125	0.562	-0.309
0.125	0.594	-0.310
0.125	0.625	-0.311
0.125	0.656	-0.312
0.125	0.688	-0.314
0.125	0.719	-0.316
0.125	0.750	-0.318
0.125	0.781	-0.319
0.125	0.812	-0.321
0.125	0.844	-0.322
0.125	0.875	-0.323
0.125	0.906	-0.324
0.125	0.938	-0.325
0.125	0.969	-0.325

0.156	0.000	-0.325
0.156	0.031	-0.324
0.156	0.062	-0.324
0.156	0.094	-0.323
0.156	0.125	-0.322
0.156	0.156	-0.321
0.156	0.188	-0.319
0.156	0.219	-0.318
0.156	0.250	-0.316
0.156	0.281	-0.314
0.156	0.312	-0.311
0.156	0.344	-0.309
0.156	0.375	-0.307
0.156	0.406	-0.306
0.156	0.438	-0.304
0.156	0.469	-0.304
0.156	0.500	-0.303
0.156	0.531	-0.304
0.156	0.562	-0.304
0.156	0.594	-0.306
0.156	0.625	-0.307
0.156	0.656	-0.309
0.156	0.688	-0.311
0.156	0.719	-0.314
0.156	0.750	-0.316
0.156	0.781	-0.318
0.156	0.812	-0.319
0.156	0.844	-0.321
0.156	0.875	-0.322
0.156	0.906	-0.323
0.156	0.938	-0.324
0.156	0.969	-0.324

0.188	0.000	-0.324
0.188	0.031	-0.323
0.188	0.062	-0.323
0.188	0.094	-0.322
0.188	0.125	-0.321
0.188	0.156	-0.319
0.188	0.188	-0.317
0.188	0.219	-0.315
0.188	0.250	-0.313
0.188	0.281	-0.311
0.188	0.312	-0.308
0.188	0.344	-0.305
0.188	0.375	-0.303
0.188	0.406	-0.301
0.188	0.438	-0.299
0.188	0.469	-0.298
0.188	0.500	-0.297
0.188	0.531	-0.298
0.188	0.562	-0.299
0.188	0.594	-0.301
0.188	0.625	-0.303
0.188	0.656	-0.305
0.188	0.688	-0.308
0.188	0.719	-0.311
0.188	0.750	-0.313
0.188	0.781	-0.315
0.188	0.812	-0.317
0.188	0.844	-0.319
0.188	0.875	-0.321
0.188	0.906	-0.322
0.188	0.938	-0.323
0.188	0.969	-0.323

0.219	0.000	-0.322
0.219	0.031	-0.322
0.219	0.062	-0.322
0.219	0.094	-0.321
0.219	0.125	-0.319
0.219	0.156	-0.318
0.219	0.188	-0.315
0.219	0.219	-0.313
0.219	0.250	-0.310
0.219	0.281	-0.307
0.219	0.312	-0.304
0.219	0.344	-0.300
0.219	0.375	-0.297
0.219	0.406	-0.294
0.219	0.438	-0.292
0.219	0.469	-0.290
0.219	0.500	-0.290
0.219	0.531	-0.290
0.219	0.562	-0.292
0.219	0.594	-0.294
0.219	0.625	-0.297
0.219	0.656	-0.300
0.219	0.688	-0.304
0.219	0.719	-0.307
0.219	0.750	-0.310
0.219	0.781	-0.313
0.219	0.812	-0.315
0.219	0.844	-0.318
0.219	0.875	-0.319
0.219	0.906	-0.321
0.219	0.938	-0.322
0.219	0.969	-0.322

0.250	0.000	-0.321
0.250	0.031	-0.321
0.250	0.062	-0.320
0.250	0.094	-0.319
0.250	0.125	-0.318
0.250	0.156	-0.316
0.250	0.188	-0.313
0.250	0.219	-0.310
0.250	0.250	-0.307
0.250	0.281	-0.303
0.250	0.312	-0.299
0.250	0.344	-0.294
0.250	0.375	-0.290
0.250	0.406	-0.286
0.250	0.438	-0.283
0.250	0.469	-0.280
0.250	0.500	-0.280
0.250	0.531	-0.280
0.250	0.562	-0.283
0.250	0.594	-0.286
0.250	0.625	-0.290
0.250	0.656	-0.294
0.250	0.688	-0.299
0.250	0.719	-0.303
0.250	0.750	-0.307
0.250	0.781	-0.310
0.250	0.812	-0.313
0.250	0.844	-0.316
0.250	0.875	-0.318
0.250	0.906	-0.319
0.250	0.938	-0.320
0.250	0.969	-0.321

0.281	0.000	-0.320
0.281	0.031	-0.320
0.281	0.062	-0.319
0.281	0.094	-0.318
0.281	0.125	-0.316
0.281	0.156	-0.314
0.281	0.188	-0.311
0.281	0.219	-0.307
0.281	0.250	-0.303
0.281	0.281	-0.298
0.281	0.312	-0.293
0.281	0.344	-0.287
0.281	0.375	-0.281
0.281	0.406	-0.275
0.281	0.438	-0.271
0.281	0.469	-0.267
0.281	0.500	-0.266
